"DEPTID","HIRE_DT","ANNUAL_RT","Gross"
"A02003","2/27/2012","66800.00","66516.38"
"A99416","8/16/2017","48971.00","48971.00"
"A65004","4/4/2016","81300.00","76173.75"
"A99408","4/23/2002","76892.00","70546.96"
"A90201","1/4/2001","51888.00","69747.85"
"A75060","5/9/2005","57278.00","54051.33"
"A49507","6/18/1987","35006.00","40568.98"
"A99224","3/15/2007","83576.00","95579.40"
"A50701","7/13/1998","41741.00","40781.21"
"A99372","2/10/1988","59680.00","82174.21"
"A99095","8/17/2000","78289.00","94962.91"
"A99123","2/20/2007","76892.00","92545.37"
"A99063","7/22/2014","58963.00","51243.51"
"A99416","7/25/2017","48971.00","48971.00"
"A49104","11/13/2014","49788.00","44103.43"
"A06009","1/27/2014","59500.00","57349.75"
"A17002","9/1/2005","38882.00","33902.97"
"A41101","9/5/1989","103200.00","103163.62"
"A49104","10/2/2002","54806.00","53735.94"
"A26001","9/15/2011","53284.00","50995.79"
"A99386","2/16/2006","59808.00","72001.36"
"A99295","12/28/1993","82484.00","86735.80"
"A52004","2/23/1998","45893.00","45537.34"
"A06009","11/5/2012","63300.00","61224.43"
"A99347","10/16/2000","77591.00","86958.78"
"A85301","9/3/2015","38381.00","47828.71"
"A65508","8/23/2007","38488.00","36499.43"
"A50207","1/6/2014","40603.00","29110.11"
"A65012","11/3/2016","59500.00","35652.43"
"A40001","2/10/2014","67218.00","63239.96"
"A65018","6/29/2006","63300.00","55537.49"
"A06065","5/21/2012","29120.00","7392.00"
"A99033","1/21/2015","49833.00","56203.85"
"A06065","6/6/2005","52000.00","16712.50"
"A99262","7/29/2003","74134.00","78875.52"
"A65072","9/13/2010","5512.00","2405.05"
"A99167","1/12/1996","106859.00","169129.03"
"B49390","11/9/1987","34091.00","37430.16"
"A49104","4/3/2012","48950.00","56140.64"
"A49104","8/15/2016","40495.00","34375.97"
"A99335","5/7/1996","81086.00","103889.97"
"A99324","11/13/2000","90439.00","109841.00"
"A99266","7/30/2002","76892.00","82483.97"
"A64146","11/23/1998","71529.00","84192.19"
"A40002","6/24/2006","36769.00","30648.15"
"A64108","11/27/2000","69515.00","79347.33"
"A40002","5/12/2014","36769.00","35915.48"
"A65101","10/30/2008","26680.00","27015.36"
"A49102","3/23/1992","40383.00","52422.87"
"A99337","2/1/2005","74499.00","86884.19"
"P04002","6/23/2007","20842.00","561.13"
"A99303","10/6/1994","96108.00","115345.28"
"A50207","12/8/1977","46693.00","53668.46"
"A99061","9/26/1994","96108.00","110075.95"
"P04001","6/26/2006","19240.00","1662.52"
"A65026","8/10/2009","37583.00","36474.80"
"A99386","6/30/1978","73800.00","84565.63"
"A99386","4/14/2016","38915.00","41419.60"
"A14003","7/10/2014","31017.00","30753.85"
"A75020","9/28/2015","34362.00","27996.35"
"A50803","8/19/1991","54826.00","62309.00"
"A50601","11/17/2008","34902.00","38597.81"
"A64603","3/1/2000","53628.00","76365.84"
"A01001","12/7/2016","59200.00","30784.56"
"A50101","9/28/2015","63300.00","61969.20"
"A65092","1/26/2017","40495.00","15116.78"
"C90786","8/28/2003","10864.00","9813.97"
"A65531","12/19/1994","62634.00","61521.55"
"A99164","6/20/2006","72094.00","85201.45"
"A65531","1/24/2011","30504.00","29340.01"
"A29017","8/4/2014","67218.00","65844.53"
"A65508","12/29/2016","42153.00","18866.78"
"A64106","8/13/2003","69145.00","74671.35"
"P04001","9/16/2006","20800.00","3615.00"
"P04001","9/16/2006","20800.00","4630.00"
"A70415","1/19/2016","29453.00","29372.91"
"A84401","11/30/1987","92300.00","87884.62"
"A99351","1/11/1996","94003.00","93738.13"
"A14003","1/29/1985","49790.00","51611.56"
"P04001","5/28/2016","27040.00","14358.50"
"B70353","7/11/2007","30430.00","34454.71"
"A49370","9/9/1975","35030.00","36215.23"
"A40001","6/16/1997","94000.00","93366.18"
"C90786","9/21/2017","9663.00","9663.00"
"A85001","12/29/2011","30430.00","29259.66"
"C90786","3/13/2003","10864.00","10527.69"
"A50606","11/27/2000","43039.00","104661.77"
"A64210","6/23/2007","65009.00","87499.58"
"A03031","6/23/2003","52930.00","51892.08"
"A50803","9/30/2002","38162.00","55242.61"
"A50553","6/22/2015","29453.00","37513.30"
"A64466","3/1/2000","72140.00","107646.14"
"A99164","3/31/1994","95689.00","104385.37"
"A49102","5/14/2007","35949.00","36187.64"
"A85001","12/15/2011","40495.00","33645.10"
"A68003","7/6/2015","20800.00","11173.20"
"A12003","6/24/2006","36275.00","33705.24"
"A99408","8/1/2007","71412.00","63823.07"
"A49506","8/26/1993","40730.00","40569.80"
"A99408","8/5/2010","69373.00","74796.73"
"A75079","9/2/2003","65400.00","63336.91"
"A49310","3/2/1998","41452.00","43645.40"
"A99005","4/18/2012","66122.00","77443.77"
"A49100","1/23/2012","63600.00","60944.92"
"P04002","6/18/1985","22464.00","10305.90"
"A50402","12/26/1989","59680.00","59830.28"
"B70372","3/1/2004","31345.00","48653.73"
"A12002","8/13/2007","69300.00","69236.29"
"A50209","7/2/2007","45144.00","45000.45"
"A75031","2/11/2008","48950.00","46181.42"
"A38001","11/21/2002","55056.00","55877.25"
"A65033","11/6/1989","39090.00","38352.26"
"A99422","10/23/2013","29994.00","23303.01"
"A64464","8/20/2014","67952.00","90340.91"
"A68011","9/27/2016","20800.00","6781.00"
"A50101","10/24/2016","102900.00","65940.28"
"A54001","6/18/2016","82200.00","80217.88"
"A50211","12/6/2004","45144.00","47325.10"
"A85301","2/12/1987","48507.00","60065.31"
"A99097","9/10/2008","70735.00","92051.84"
